iter	Logloss
0	0.6883756959
1	0.6833686294
2	0.6791060094
3	0.6755075401
4	0.6719405659
5	0.6694138878
6	0.6661277307
7	0.6628298782
8	0.6598236172
9	0.6568625928
10	0.6539795188
11	0.6514621308
12	0.6487491864
13	0.6469706938
14	0.6450426757
15	0.6429333822
16	0.6408923533
17	0.6389660785
18	0.6366054986
19	0.6342863597
20	0.6327010773
21	0.6313276437
22	0.6297898501
23	0.6286324317
24	0.6271614716
25	0.6261404795
26	0.6249197301
27	0.6233072345
28	0.622167114
29	0.6207553286
30	0.6194646043
31	0.61830542
32	0.6177036975
33	0.6168176644
34	0.6160363914
35	0.6150091051
36	0.6140515646
37	0.6133180509
38	0.6126581566
39	0.6119730941
40	0.6112147213
41	0.6102997123
42	0.609379474
43	0.6087701352
44	0.6082855889
45	0.6073855845
46	0.6067356432
47	0.6060451915
48	0.6054094555
49	0.6047181549
50	0.604243429
51	0.6036758876
52	0.6027850191
53	0.6020321253
54	0.6015527634
55	0.6010557687
56	0.6003512688
57	0.5998054943
58	0.5991119248
59	0.5985158994
