iter	Passed	Remaining
0	19	871
1	38	844
2	58	831
3	74	785
4	92	756
5	112	747
6	131	733
7	148	706
8	165	681
9	183	661
10	203	645
11	220	623
12	236	600
13	252	578
14	269	555
15	285	536
16	303	516
17	318	495
18	337	479
19	356	463
20	372	443
21	388	424
22	406	406
23	425	390
24	444	373
25	462	355
26	480	337
27	502	323
28	520	305
29	539	287
30	558	270
31	577	252
32	594	234
33	611	215
34	631	198
35	652	181
36	669	162
37	686	144
38	703	126
39	719	107
40	736	89
41	754	71
42	771	53
43	794	36
44	811	18
45	829	0
